Components,R2X
1,0.7758324116994668
2,0.8710073973066742
3,0.8755640052593987
4,0.9027164068835788
5,0.912641130613634
6,0.926035853939228
7,0.9236949546528843
8,0.914891340850458
9,0.8927481804904334
10,0.9260018242072741
1,0.7731158711136024
2,0.816076134173945
3,0.835375106535761
4,0.8350302026077482
5,0.8305564859839647
6,0.838978609292613
7,0.850165387829517
8,0.85186927665778
9,0.8095364880745047
10,0.8872522619432379
1,0.8160702898533737
2,0.8367254300667459
3,0.8401220488850687
4,0.8943486367407748
5,0.8877265772125019
6,0.8918387652600941
7,0.8914185863064985
8,0.832240257587584
9,0.9134478919886369
10,0.5335141654365847
1,0.8433828149589415
2,0.8880665066987694
3,0.8963231898632852
4,0.9115870183297388
5,0.9126819848700801
6,0.9256420080657559
7,0.9213897453065757
8,0.94316044542169
9,0.9194390425747233
10,0.9432322605065002
1,0.7577048386491066
2,0.8725220430214439
3,0.8874993411883797
4,0.8805225875759812
5,0.8888316081918429
6,0.9058076875019478
7,0.9109782167630331
8,0.9172640640367589
9,0.912753468911652
10,0.90774629778889
1,0.7274009248446265
2,0.8013063259804338
3,0.8081679163795746
4,0.7974710612752196
5,0.8643761954050111
6,0.9018381240853977
7,0.9029598497298622
8,0.9122453032649142
9,0.6963352432237897
10,0.7879701061986122
1,0.8032841525776034
2,0.8631707218856159
3,0.8808283804203265
4,0.8902973421760227
5,0.7990579833077572
6,0.8640416178794694
7,0.8335547815983425
8,0.821751928224722
9,0.7890628232743915
10,0.8871598969464406
1,0.8661345110360661
2,0.9075645388563673
3,0.92408505714037
4,0.9263592933815055
5,0.9283026743213878
6,0.936418795630521
7,0.9374621919318986
8,0.9020413352637192
9,0.9117553712868127
10,0.9080971531926287
1,0.6505717125484165
2,0.6592924434361652
3,0.6594820819471874
4,0.7634974696750727
5,0.7924932802635335
6,0.803919848769794
7,0.79154903987767
8,0.7921647881994063
9,0.7882646525396292
10,0.7539456353507328
1,0.7283816338258267
2,0.7844057380829492
3,0.7843591822740296
4,0.8483487582017282
5,0.8501877461715348
6,0.8705146027303388
7,0.798924803671213
8,0.901113669537064
9,0.6876631163051262
10,0.6702562185064169
