Class,Accuracy,Components
Controller/Progressor,0.46408839779005523,1
Viremic/Non-Viremic,0.6464088397790055,1
Four-Class,0.4143646408839779,1
Controller/Progressor,0.5248618784530387,1
Viremic/Non-Viremic,0.6574585635359116,1
Four-Class,0.3756906077348066,1
Controller/Progressor,0.48066298342541436,1
Viremic/Non-Viremic,0.6685082872928176,1
Four-Class,0.40331491712707185,1
Controller/Progressor,0.49171270718232046,1
Viremic/Non-Viremic,0.6353591160220995,1
Four-Class,0.34806629834254144,1
Controller/Progressor,0.4972375690607735,1
Viremic/Non-Viremic,0.6574585635359116,1
Four-Class,0.39779005524861877,1
Controller/Progressor,0.5359116022099447,1
Viremic/Non-Viremic,0.6574585635359116,1
Four-Class,0.40331491712707185,1
Controller/Progressor,0.4861878453038674,1
Viremic/Non-Viremic,0.6464088397790055,1
Four-Class,0.39226519337016574,1
Controller/Progressor,0.5303867403314917,1
Viremic/Non-Viremic,0.6685082872928176,1
Four-Class,0.3812154696132597,1
Controller/Progressor,0.4972375690607735,1
Viremic/Non-Viremic,0.6464088397790055,1
Four-Class,0.3867403314917127,1
Controller/Progressor,0.5082872928176796,1
Viremic/Non-Viremic,0.6629834254143646,1
Four-Class,0.3756906077348066,1
Controller/Progressor,0.5303867403314917,2
Viremic/Non-Viremic,0.6629834254143646,2
Four-Class,0.39226519337016574,2
Controller/Progressor,0.4972375690607735,2
Viremic/Non-Viremic,0.6519337016574586,2
Four-Class,0.3756906077348066,2
Controller/Progressor,0.5303867403314917,2
Viremic/Non-Viremic,0.6519337016574586,2
Four-Class,0.3867403314917127,2
Controller/Progressor,0.430939226519337,2
Viremic/Non-Viremic,0.6464088397790055,2
Four-Class,0.3867403314917127,2
Controller/Progressor,0.5303867403314917,2
Viremic/Non-Viremic,0.6574585635359116,2
Four-Class,0.3867403314917127,2
Controller/Progressor,0.46408839779005523,2
Viremic/Non-Viremic,0.6574585635359116,2
Four-Class,0.3867403314917127,2
Controller/Progressor,0.5359116022099447,2
Viremic/Non-Viremic,0.6408839779005525,2
Four-Class,0.3812154696132597,2
Controller/Progressor,0.4861878453038674,2
Viremic/Non-Viremic,0.6408839779005525,2
Four-Class,0.4088397790055249,2
Controller/Progressor,0.5082872928176796,2
Viremic/Non-Viremic,0.6629834254143646,2
Four-Class,0.3812154696132597,2
Controller/Progressor,0.5303867403314917,2
Viremic/Non-Viremic,0.6519337016574586,2
Four-Class,0.4088397790055249,2
Controller/Progressor,0.5414364640883977,3
Viremic/Non-Viremic,0.6574585635359116,3
Four-Class,0.4088397790055249,3
Controller/Progressor,0.5580110497237569,3
Viremic/Non-Viremic,0.6408839779005525,3
Four-Class,0.4198895027624309,3
Controller/Progressor,0.5303867403314917,3
Viremic/Non-Viremic,0.6187845303867403,3
Four-Class,0.425414364640884,3
Controller/Progressor,0.5193370165745856,3
Viremic/Non-Viremic,0.6353591160220995,3
Four-Class,0.39226519337016574,3
Controller/Progressor,0.56353591160221,3
Viremic/Non-Viremic,0.6574585635359116,3
Four-Class,0.39226519337016574,3
Controller/Progressor,0.580110497237569,3
Viremic/Non-Viremic,0.6464088397790055,3
Four-Class,0.40331491712707185,3
Controller/Progressor,0.5248618784530387,3
Viremic/Non-Viremic,0.6353591160220995,3
Four-Class,0.39779005524861877,3
Controller/Progressor,0.5359116022099447,3
Viremic/Non-Viremic,0.6519337016574586,3
Four-Class,0.4198895027624309,3
Controller/Progressor,0.5524861878453039,3
Viremic/Non-Viremic,0.6519337016574586,3
Four-Class,0.4143646408839779,3
Controller/Progressor,0.5524861878453039,3
Viremic/Non-Viremic,0.6629834254143646,3
Four-Class,0.40331491712707185,3
Controller/Progressor,0.7237569060773481,4
Viremic/Non-Viremic,0.7182320441988951,4
Four-Class,0.47513812154696133,4
Controller/Progressor,0.7016574585635359,4
Viremic/Non-Viremic,0.7348066298342542,4
Four-Class,0.5138121546961326,4
Controller/Progressor,0.7071823204419889,4
Viremic/Non-Viremic,0.7071823204419889,4
Four-Class,0.5027624309392266,4
Controller/Progressor,0.7071823204419889,4
Viremic/Non-Viremic,0.7348066298342542,4
Four-Class,0.4861878453038674,4
Controller/Progressor,0.6906077348066298,4
Viremic/Non-Viremic,0.712707182320442,4
Four-Class,0.49171270718232046,4
Controller/Progressor,0.6906077348066298,4
Viremic/Non-Viremic,0.712707182320442,4
Four-Class,0.4972375690607735,4
Controller/Progressor,0.6740331491712708,4
Viremic/Non-Viremic,0.7403314917127072,4
Four-Class,0.49171270718232046,4
Controller/Progressor,0.6961325966850829,4
Viremic/Non-Viremic,0.7237569060773481,4
Four-Class,0.4861878453038674,4
Controller/Progressor,0.712707182320442,4
Viremic/Non-Viremic,0.7182320441988951,4
Four-Class,0.4861878453038674,4
Controller/Progressor,0.6961325966850829,4
Viremic/Non-Viremic,0.7403314917127072,4
Four-Class,0.48066298342541436,4
Controller/Progressor,0.712707182320442,5
Viremic/Non-Viremic,0.6961325966850829,5
Four-Class,0.4696132596685083,5
Controller/Progressor,0.7348066298342542,5
Viremic/Non-Viremic,0.6740331491712708,5
Four-Class,0.46408839779005523,5
Controller/Progressor,0.6906077348066298,5
Viremic/Non-Viremic,0.6795580110497238,5
Four-Class,0.5027624309392266,5
Controller/Progressor,0.7237569060773481,5
Viremic/Non-Viremic,0.6961325966850829,5
Four-Class,0.47513812154696133,5
Controller/Progressor,0.712707182320442,5
Viremic/Non-Viremic,0.6961325966850829,5
Four-Class,0.47513812154696133,5
Controller/Progressor,0.7071823204419889,5
