Accuracy,Components,Function
0.5163040734184539,1,ADCD
0.5709218895179785,1,ADCC
0.46626499279472067,1,ADNP
0.44556046294170454,1,CD107a
0.4700352661340322,1,IFNγ
0.5542106073127532,1,MIP1β
0.5303486394026045,1,ADCD
0.5772745764703895,1,ADCC
0.4750980933239566,1,ADNP
0.4551784335879491,1,CD107a
0.46515707539120943,1,IFNγ
0.5565090393378976,1,MIP1β
0.5250956255699517,1,ADCD
0.5724196953436181,1,ADCC
0.4667475378030522,1,ADNP
0.45504158269618633,1,CD107a
0.46126866816072915,1,IFNγ
0.5570167905385622,1,MIP1β
0.5263423740889018,1,ADCD
0.5738683141418799,1,ADCC
0.4720194424494214,1,ADNP
0.45028849518624736,1,CD107a
0.4667428659670433,1,IFNγ
0.562891224487711,1,MIP1β
0.521157693471172,1,ADCD
0.5634761775829531,1,ADCC
0.4722256250616012,1,ADNP
0.4575177011084809,1,CD107a
0.4657803430866339,1,IFNγ
0.5564727262636825,1,MIP1β
0.5214011018876539,1,ADCD
0.5755428066927814,1,ADCC
0.4682845388372418,1,ADNP
0.4520853803465626,1,CD107a
0.47126241608850367,1,IFNγ
0.5578820953348025,1,MIP1β
0.5268018319713541,1,ADCD
0.5734509681850479,1,ADCC
0.4668355938860152,1,ADNP
0.455383726988522,1,CD107a
0.4735229314651427,1,IFNγ
0.5580447721974127,1,MIP1β
0.5156800605098522,1,ADCD
0.5748205918297,1,ADCC
0.4696882939579099,1,ADNP
0.4555097748735466,1,CD107a
0.4704466587084795,1,IFNγ
0.5489983138717547,1,MIP1β
0.5293068141937878,1,ADCD
0.5717432003391117,1,ADCC
0.46671167161137617,1,ADNP
0.4584601293735446,1,CD107a
0.4621876793771491,1,IFNγ
0.5629992035428656,1,MIP1β
0.518204633448071,1,ADCD
0.5715310732209528,1,ADCC
0.46736429230238896,1,ADNP
0.45817901818379336,1,CD107a
0.45707129913594924,1,IFNγ
0.5586021289207196,1,MIP1β
0.6019177322045713,2,ADCD
0.5533895102847564,2,ADCC
0.4464747161420198,2,ADNP
0.4976632766772232,2,CD107a
0.49634478922620406,2,IFNγ
0.5649560701360441,2,MIP1β
0.5930189365456354,2,ADCD
0.5495669764568025,2,ADCC
0.43755140081457,2,ADNP
0.4983666422734454,2,CD107a
0.49410902558187986,2,IFNγ
0.5642778538310401,2,MIP1β
0.5972211498179028,2,ADCD
0.564903323802039,2,ADCC
0.44373189855679906,2,ADNP
0.5010849424985598,2,CD107a
0.4938591666440827,2,IFNγ
0.5760418637272448,2,MIP1β
0.5996908466934638,2,ADCD
0.5669435459354404,2,ADCC
0.4552844726735138,2,ADNP
0.4853433532265253,2,CD107a
0.5019793020948848,2,IFNγ
0.5624915123470394,2,MIP1β
0.6033660623812392,2,ADCD
0.5656487322865794,2,ADCC
0.45474193775618044,2,ADNP
0.48983276269588544,2,CD107a
0.48896087934400073,2,IFNγ
0.5670121217909275,2,MIP1β
0.6019098404461257,2,ADCD
0.5523029220970963,2,ADCC
0.43265905936939786,2,ADNP
0.4979037838716826,2,CD107a
0.5026867392800283,2,IFNγ
0.5686758265995071,2,MIP1β
0.607305600950879,2,ADCD
0.5551040545058936,2,ADCC
0.4492979915241411,2,ADNP
0.4965947963307311,2,CD107a
0.4834151906285356,2,IFNγ
0.564864699056483,2,MIP1β
0.6050572990161622,2,ADCD
0.5691453168540493,2,ADCC
0.44872359209358303,2,ADNP
0.4813980667871068,2,CD107a
0.5061903353874148,2,IFNγ
0.5622692395101868,2,MIP1β
0.5918238466810529,2,ADCD
0.5666820653360092,2,ADCC
0.4367058899412622,2,ADNP
0.49757739031475223,2,CD107a
0.4866057919892706,2,IFNγ
0.5556481853344188,2,MIP1β
0.600735631134358,2,ADCD
0.5645684709949531,2,ADCC
0.44251524070370735,2,ADNP
0.5034219585266606,2,CD107a
0.49693360637711553,2,IFNγ
0.5563011720474602,2,MIP1β
0.5797493531672081,3,ADCD
0.5040383496832083,3,ADCC
0.4256752662727664,3,ADNP
0.41960102324116794,3,CD107a
0.446083011310179,3,IFNγ
0.43845419916852646,3,MIP1β
0.5753827931805833,3,ADCD
0.4987931890633298,3,ADCC
0.4253507749436042,3,ADNP
0.4408441389019206,3,CD107a
0.4577949380891773,3,IFNγ
0.43661225142022975,3,MIP1β
0.5642312831006857,3,ADCD
0.5073170974080523,3,ADCC
0.43404682135977707,3,ADNP
0.43051397901717836,3,CD107a
0.45989710127801325,3,IFNγ
0.42177159985763374,3,MIP1β
0.5763499551019821,3,ADCD
0.5106861982553934,3,ADCC
0.43738724033825027,3,ADNP
0.4285710097479356,3,CD107a
0.45798546961330855,3,IFNγ
0.4078362106559287,3,MIP1β
0.5807824871806975,3,ADCD
0.5139603231466862,3,ADCC
0.42933352672999797,3,ADNP
0.41605817431798714,3,CD107a
0.44350459777743184,3,IFNγ
0.41211222624173477,3,MIP1β
0.5811045496470297,3,ADCD
0.5080051098474747,3,ADCC
0.43455468448819246,3,ADNP
0.42120301442563296,3,CD107a
0.4478577875766049,3,IFNγ
0.43223179408270934,3,MIP1β
0.5747594799128122,3,ADCD
0.5031720995362412,3,ADCC
0.4115805084661744,3,ADNP
0.44223317389283157,3,CD107a
0.46016983976117015,3,IFNγ
0.4303140344133272,3,MIP1β
0.5829046470400083,3,ADCD
0.4913570651119312,3,ADCC
0.4207339118759813,3,ADNP
0.421848228885031,3,CD107a
0.45372660931957326,3,IFNγ
0.4343735738257272,3,MIP1β
0.5844371901417262,3,ADCD
0.4963480843076546,3,ADCC
0.4133549662781323,3,ADNP
0.4309675320647253,3,CD107a
0.45006767292261557,3,IFNγ
0.4304374902442944,3,MIP1β
0.5799935448639749,3,ADCD
0.5047237965068329,3,ADCC
0.4272916020126265,3,ADNP
0.4261254086918225,3,CD107a
0.4442867113160776,3,IFNγ
0.43718464199542983,3,MIP1β
0.6029866569550754,4,ADCD
0.5781703772158897,4,ADCC
0.5063815706129766,4,ADNP
0.5701346879515505,4,CD107a
0.57908345612936,4,IFNγ
0.6307209971643496,4,MIP1β
0.6065211339807485,4,ADCD
0.5736624654802203,4,ADCC
0.5100798401127828,4,ADNP
0.5554357102965946,4,CD107a
0.5741041958538216,4,IFNγ
0.6319277631782658,4,MIP1β
0.6037891697962373,4,ADCD
0.5742797927798002,4,ADCC
0.5073743447205034,4,ADNP
0.5605992859974204,4,CD107a
0.5869666936871804,4,IFNγ
0.6344146176254174,4,MIP1β
0.6131174383466621,4,ADCD
0.5701017547570201,4,ADCC
0.5029397463575573,4,ADNP
0.5626139192486912,4,CD107a
0.5756478467506544,4,IFNγ
0.6378542137621629,4,MIP1β
0.6113019495914139,4,ADCD
0.5673207287436831,4,ADCC
0.5099535871654249,4,ADNP
0.5418328924836953,4,CD107a
0.580941564792363,4,IFNγ
0.6261284068990909,4,MIP1β
0.6122455241777653,4,ADCD
0.5761690182213757,4,ADCC
0.5128567852190276,4,ADNP
0.5556235052509484,4,CD107a
0.5866102537064478,4,IFNγ
0.6333157832556436,4,MIP1β
0.6069968070940662,4,ADCD
0.5707755116725037,4,ADCC
0.508433329841664,4,ADNP
0.5550798521266979,4,CD107a
0.5825248761796192,4,IFNγ
0.6364420173503473,4,MIP1β
0.6097888346943878,4,ADCD
0.5729593093569559,4,ADCC
0.5085192313876841,4,ADNP
0.5490521629903814,4,CD107a
0.5797296873443452,4,IFNγ
0.635813337350323,4,MIP1β
0.5951326983681297,4,ADCD
0.5714517052965711,4,ADCC
0.505480460696873,4,ADNP
0.5615900597877861,4,CD107a
0.5812395110622911,4,IFNγ
0.6341361771581734,4,MIP1β
0.6090340683671133,4,ADCD
0.5710683565898378,4,ADCC
0.5028153914360853,4,ADNP
0.5572268067083967,4,CD107a
0.5842136055381314,4,IFNγ
0.6377327444761962,4,MIP1β
0.5480239028295917,5,ADCD
0.6040523309526337,5,ADCC
0.5052381922029944,5,ADNP
0.567297720082471,5,CD107a
0.5907767366495722,5,IFNγ
0.6215605913158138,5,MIP1β
0.5456458387600491,5,ADCD
0.5846450689123673,5,ADCC
0.49859644388918944,5,ADNP
0.5721002750959819,5,CD107a
0.5857439178729743,5,IFNγ
0.6133541366843613,5,MIP1β
0.5551403628108008,5,ADCD
0.5951291794405675,5,ADCC
0.5107881908926706,5,ADNP
0.5651808985919563,5,CD107a
0.588215063712581,5,IFNγ
0.6063937063973217,5,MIP1β
0.5533163332437472,5,ADCD
0.5989837501821247,5,ADCC
0.4997566164724043,5,ADNP
0.5605356510992221,5,CD107a
0.5908877389595069,5,IFNγ
0.6173908934090131,5,MIP1β
0.553316195621351,5,ADCD
0.5991563352187995,5,ADCC
0.509516276281367,5,ADNP
0.5713935785723101,5,CD107a
0.5755715496613246,5,IFNγ
0.6145308503753675,5,MIP1β
0.5506615558189599,5,ADCD
0.5992918279537842,5,ADCC
0.4982800606883425,5,ADNP
0.5696098972347413,5,CD107a
0.5819921411314357,5,IFNγ
0.606899728756083,5,MIP1β
0.5444860465485741,5,ADCD
0.5927637072405233,5,ADCC
0.5038482070392936,5,ADNP
0.5641137630840714,5,CD107a
0.5851716000079781,5,IFNγ
0.6168929203700848,5,MIP1β
0.5519315260588938,5,ADCD
